rows_total,rows_initial_ai_candidates,rows_kept,rows_excluded_false_positive,seconds_schema,seconds_read,seconds_text,seconds_match,seconds_review,seconds_total,file,seconds_write,status,completed_at
1272627,1978,435,1543,0.091,19.063,2.53,597.666,3.722,623.075,unified-government-contract-awards_0_0_0.snappy.parquet,0.108,completed,2026-05-06T16:24:40.465743
945129,1785,291,1494,0.04,12.912,1.906,528.542,3.127,546.53,unified-government-contract-awards_0_0_1.snappy.parquet,0.26,completed,2026-05-06T16:33:47.803010
1130496,2122,356,1766,0.083,15.895,3.541,616.093,3.447,639.062,unified-government-contract-awards_0_0_2.snappy.parquet,0.294,completed,2026-05-06T16:44:27.818202
385024,1165,112,1053,0.055,5.897,0.89,253.544,1.859,262.247,unified-government-contract-awards_0_0_3.snappy.parquet,0.233,completed,2026-05-06T16:48:50.647196
1178078,1879,314,1565,0.071,18.438,2.362,609.977,3.332,634.183,unified-government-contract-awards_0_1_0.snappy.parquet,0.291,completed,2026-05-06T16:59:25.814790
901120,934,276,658,0.044,13.823,1.998,485.886,2.15,503.904,unified-government-contract-awards_0_1_1.snappy.parquet,0.238,completed,2026-05-06T17:07:50.514524
1112912,1402,344,1058,0.025,15.614,2.553,573.936,2.711,594.842,unified-government-contract-awards_0_1_2.snappy.parquet,0.232,completed,2026-05-06T17:17:46.181896
1210918,2015,377,1638,0.043,17.237,2.598,673.0,3.381,696.263,unified-government-contract-awards_0_1_3.snappy.parquet,0.282,completed,2026-05-06T17:29:23.440122
16384,19,4,15,0.035,0.229,0.038,8.361,0.032,8.696,unified-government-contract-awards_0_1_4.snappy.parquet,0.077,completed,2026-05-06T17:29:32.368517
1105920,1892,342,1550,0.015,17.88,2.602,650.502,3.161,674.163,unified-government-contract-awards_0_2_0.snappy.parquet,0.336,completed,2026-05-06T17:40:47.477816
1110016,1197,298,899,0.022,16.075,2.235,581.016,2.407,601.759,unified-government-contract-awards_0_2_1.snappy.parquet,0.266,completed,2026-05-06T17:50:50.139676
1282048,2337,330,2007,0.023,18.767,2.98,716.221,3.924,741.919,unified-government-contract-awards_0_2_2.snappy.parquet,0.455,completed,2026-05-06T18:03:13.243446
434176,516,124,392,0.016,6.84,0.798,235.307,0.852,243.814,unified-government-contract-awards_0_2_3.snappy.parquet,0.133,completed,2026-05-06T18:07:17.577060
1165050,1873,315,1558,0.027,18.652,2.378,641.574,3.253,665.887,unified-government-contract-awards_0_3_0.snappy.parquet,0.236,completed,2026-05-06T18:18:24.297261
815104,1260,258,1002,0.032,11.976,1.507,473.687,2.241,489.446,unified-government-contract-awards_0_3_1.snappy.parquet,0.279,completed,2026-05-06T18:26:34.418282
1056768,1792,324,1468,0.049,16.13,2.361,635.089,3.18,656.813,unified-government-contract-awards_0_3_2.snappy.parquet,0.373,completed,2026-05-06T18:37:32.094242
950288,2350,310,2040,0.064,14.552,1.888,538.269,3.828,558.606,unified-government-contract-awards_0_3_3.snappy.parquet,0.218,completed,2026-05-06T18:46:51.440132
1100605,1445,340,1105,0.029,18.836,2.601,711.818,2.988,736.276,unified-government-contract-awards_0_4_0.snappy.parquet,0.399,completed,2026-05-06T18:59:08.881591
1014529,1514,311,1203,0.036,15.232,2.402,577.198,2.992,597.864,unified-government-contract-awards_0_4_1.snappy.parquet,0.259,completed,2026-05-06T19:09:07.655856
1155072,1902,327,1575,0.022,16.991,2.649,653.618,3.481,676.766,unified-government-contract-awards_0_4_2.snappy.parquet,0.391,completed,2026-05-06T19:20:25.558045
729088,2005,209,1796,0.022,11.269,1.438,440.403,3.308,456.443,unified-government-contract-awards_0_4_3.snappy.parquet,0.217,completed,2026-05-06T19:28:02.649282
1189957,2079,402,1677,0.019,18.739,2.645,665.084,3.892,690.383,unified-government-contract-awards_0_5_0.snappy.parquet,0.315,completed,2026-05-06T19:39:34.020247
940901,2668,259,2409,0.074,14.512,2.064,546.89,4.365,567.908,unified-government-contract-awards_0_5_1.snappy.parquet,0.306,completed,2026-05-06T19:49:02.739081
1056768,2099,269,1830,0.047,15.95,2.368,612.711,3.524,634.603,unified-government-contract-awards_0_5_2.snappy.parquet,0.278,completed,2026-05-06T19:59:38.229453
692075,1531,226,1305,0.079,10.592,1.372,433.013,2.641,447.7,unified-government-contract-awards_0_5_3.snappy.parquet,0.156,completed,2026-05-06T20:07:06.496573
1230349,1738,400,1338,0.019,19.512,2.671,651.866,3.662,677.734,unified-government-contract-awards_0_6_0.snappy.parquet,0.289,completed,2026-05-06T20:18:25.302446
955413,1844,315,1529,0.037,14.052,1.823,539.555,3.216,558.687,unified-government-contract-awards_0_6_1.snappy.parquet,0.194,completed,2026-05-06T20:27:44.715964
1166463,1801,398,1403,0.023,17.606,2.452,639.294,3.392,662.77,unified-government-contract-awards_0_6_2.snappy.parquet,0.234,completed,2026-05-06T20:38:48.381149
612678,912,192,720,0.041,9.454,1.112,361.281,1.638,373.528,unified-government-contract-awards_0_6_3.snappy.parquet,0.189,completed,2026-05-06T20:45:02.451054
1236992,1844,363,1481,0.021,19.991,2.557,657.457,3.259,683.289,unified-government-contract-awards_0_7_0.snappy.parquet,0.27,completed,2026-05-06T20:56:26.726733
815104,2018,218,1800,0.073,13.088,1.605,481.189,3.432,499.389,unified-government-contract-awards_0_7_1.snappy.parquet,0.301,completed,2026-05-06T21:04:46.910598
1122304,1503,346,1157,0.04,16.273,2.361,595.638,2.794,617.108,unified-government-contract-awards_0_7_2.snappy.parquet,1.72,completed,2026-05-06T21:15:06.313641
942080,1451,248,1203,0.034,13.597,1.785,499.541,2.57,517.529,unified-government-contract-awards_0_7_3.snappy.parquet,0.188,completed,2026-05-06T21:23:44.453634
1132104,1790,363,1427,0.055,18.17,2.307,648.869,3.652,673.058,unified-government-contract-awards_1_0_0.snappy.parquet,0.245,completed,2026-05-06T21:34:58.341819
